waypoint1	waypoint2	distance_m	duration_s
aeroport t1 metro, barcelona	zona universitaria metro, barcelona	19664	2603
aeroport T2 metro, barcelona	alfons x metro, barcelona	21802	3784
aeroport T2 metro, barcelona	almeda metro, barcelona	15118	3076
aeroport T2 metro, barcelona	arc de triomf metro, barcelona	21089	3991
aeroport T2 metro, barcelona	artigues metro, barcelona	26585	4494
aeroport T2 metro, barcelona	avinguda carrilet metro, barcelona	9083	2568
aeroport T2 metro, barcelona	avinguda tibidabo metro, barcelona	22975	4360
aeroport T2 metro, barcelona	bac de roda metro, barcelona	23536	3933
aeroport T2 metro, barcelona	badal metro, barcelona	16305	3076
aeroport T2 metro, barcelona	badalona pompeu fabra metro, barcelona	29547	4910
aeroport T2 metro, barcelona	barceloneta metro, barcelona	20479	3459
aeroport T2 metro, barcelona	baro de vivir metro, barcelona	28717	5187
aeroport T2 metro, barcelona	bellvitge metro, barcelona	12321	1656
aeroport T2 metro, barcelona	besos metro, barcelona	24243	4553
aeroport T2 metro, barcelona	besos mar metro, barcelona	25997	4460
aeroport T2 metro, barcelona	bogatell metro, barcelona	22741	3963
aeroport T2 metro, barcelona	bon pastor metro, barcelona	26996	5239
aeroport T2 metro, barcelona	camp de l'arpa metro, barcelona	22991	4199
aeroport T2 metro, barcelona	can boixeres metro, barcelona	18339	3402
aeroport T2 metro, barcelona	can cuias metro, barcelona	28917	5378
aeroport T2 metro, barcelona	can peixauet metro, barcelona	31783	5730
aeroport T2 metro, barcelona	can serra metro, barcelona	15923	3156
aeroport T2 metro, barcelona	can tries metro, barcelona	13631	2329
aeroport T2 metro, barcelona	can vidalet metro, barcelona	17482	3272
aeroport T2 metro, barcelona	can zam metro, barcelona	31918	6003
aeroport T2 metro, barcelona	canyelles metro, barcelona	26910	4510
aeroport T2 metro, barcelona	casa de l'aigua metro, barcelona	27215	4910
aeroport T2 metro, barcelona	catalunya metro, barcelona	18807	2727
aeroport T2 metro, barcelona	centric metro, barcelona	2991	443
aeroport T2 metro, barcelona	via olimpica metro, barcelona	22413	3872
aeroport T2 metro, barcelona	ciutat meridiana metro, barcelona	28694	5319
aeroport T2 metro, barcelona	clot metro, barcelona	22603	3794
aeroport T2 metro, barcelona	collblanc metro, barcelona	15572	2539
